Feature,Contribution
ul_total_bytes_non_incr_t-2 > 0.38,0.05412505296325468
cell_x_ul_retx_t-1 > 0.26,0.01507811812742364
cell_x_dl_tx_t-1 > 0.50,-0.014765954797968108
cell_x_ul_tx_t-1 > 0.18,0.009482645246936651
cell_x_dl_retx <= -0.46,0.008627543661840684
dl_bitrate_t-1 <= -0.62,-0.007282957632746444
ul_bitrate_t-2 > 0.04,-0.006819078943822029
cell_x_dl_retx_t-1 <= -0.46,0.00639938650846603
-0.05 < dl_total_bytes_non_incr <= 0.47,0.006320584013253314
dl_bitrate_t-2 <= -0.62,0.005944248664067328
cell_x_ul_retx > 0.26,0.00435871877291056
-0.05 < dl_total_bytes_non_incr_t-2 <= 0.47,-0.004146539204262895
cell_x_dl_tx > 0.49,-0.0030981743856957162
ul_bitrate_t-1 > 0.04,0.0030167944338781514
dl_bitrate <= -0.62,0.002816449290765134
ul_bitrate > 0.04,-0.0026123796230227425
cell_x_dl_retx_t-2 <= -0.46,-0.0025945217029048006
-0.05 < dl_total_bytes_non_incr_t-1 <= 0.47,-0.0024515595179652183
ul_total_bytes_non_incr > 0.38,0.002180542197545027
cell_x_dl_tx_t-2 > 0.50,0.0019538693402916365
cell_x_ul_tx_t-2 > 0.18,0.0016291325103666042
cell_x_ul_tx > 0.18,0.0012135244292804967
ul_total_bytes_non_incr_t-1 > 0.38,0.0009456582413941358
cell_x_ul_retx_t-2 > 0.26,-0.0007045128072943507
