Feature,Contribution
ul_bitrate_t-2 > 1.03,0.05589504134916899
ul_bitrate > 0.67,0.05487431871707415
cell_x_ul_tx <= -1.16,0.026455708494286558
-1.60 < dl_bitrate_t-2 <= -0.38,-0.024593442804362153
-0.62 < cell_x_dl_retx_t-2 <= -0.30,-0.022899996722689647
-2.19 < cell_x_dl_tx <= -0.27,-0.020355084032737537
cell_x_ul_retx <= -1.13,0.01991586861314521
cell_x_ul_retx_t-1 <= -1.27,0.019538384835018897
cell_x_ul_tx_t-1 <= -1.27,0.0184447393968966
-0.63 < cell_x_dl_retx_t-1 <= -0.36,-0.016860097051663744
-2.13 < cell_x_dl_tx_t-2 <= -0.27,-0.015185545983538275
-1.05 < dl_total_bytes_non_incr_t-1 <= -0.12,-0.014373809343431241
-0.63 < cell_x_dl_retx <= -0.31,-0.011695088422249315
ul_total_bytes_non_incr <= -0.87,-0.01161584682288622
-1.60 < dl_bitrate <= -0.37,-0.01101096628727928
ul_total_bytes_non_incr_t-1 <= -0.87,-0.007368126892302994
cell_x_dl_tx_t-1 <= -2.20,0.004551367937407713
cell_x_ul_tx_t-2 <= -0.83,0.004506804483960467
ul_bitrate_t-1 <= -0.59,-0.004197552175903128
dl_total_bytes_non_incr_t-2 <= -1.05,0.0018767358352896192
dl_total_bytes_non_incr <= -1.05,0.0018701510111799467
cell_x_ul_retx_t-2 <= -0.88,0.0017914947610645437
ul_total_bytes_non_incr_t-2 <= -0.87,-0.000994023918185274
dl_bitrate_t-1 <= -1.60,0.000487604989233627
